GageID, Dryness Index, Evaporative Index, Deviation from Budyko, Snow fraction, Average Daily Temperature (D)
03361650, 0.8286, 0.6337, -0.0091, 0.0855, 10.9822
03362500, 0.82, 0.64, -0.0194, 0.0852, 10.9049
03363000, 0.8296, 0.642, -0.017, 0.0871, 10.9607
03364000, 0.8293, 0.6321, -0.0072, 0.0841, 11.0007
03365500, 0.8209, 0.6223, -0.0012, 0.0801, 11.1646
03381500, 0.9641, 0.7002, -0.0195, 0.058, 12.7993
03410500, 0.5654, 0.5432, -0.0633, 0.0504, 12.7292
03438000, 0.7484, 0.5866, -0.0006, 0.0443, 14.0055
03443000, 0.4319, 0.3881, -0.0026, 0.0456, 12.4076
03448000, 0.4992, 0.4642, -0.0293, 0.0427, 12.5494
03451500, 0.5426, 0.5038, -0.0389, 0.0418, 12.4799
03455000, 0.5499, 0.6035, -0.1338, 0.0402, 12.6104
03465500, 0.5752, 0.5497, -0.0633, 0.0567, 11.2714
03470000, 0.5706, 0.5865, -0.1032, 0.0424, 12.9148
03473000, 0.6047, 0.5641, -0.0591, 0.0762, 10.8647
03490000, 0.6702, 0.5595, -0.0156, 0.0594, 11.8601
03504000, 0.3887, 0.2997, 0.0521, 0.0611, 11.261
03512000, 0.4276, 0.4509, -0.0688, 0.0776, 10.5099
03521500, 0.7041, 0.5403, 0.0224, 0.0836, 10.9052
03524000, 0.6783, 0.5818, -0.0333, 0.0703, 11.3224
03528000, 0.6626, 0.5801, -0.0405, 0.0553, 12.1658
03531500, 0.5954, 0.5358, -0.0366, 0.0522, 12.3049
03532000, 0.6108, 0.5469, -0.0381, 0.051, 12.565
03540500, 0.5611, 0.5239, -0.0468, 0.0471, 12.9166
03550000, 0.3883, 0.5612, -0.2098, 0.0465, 12.5137
03567500, 0.6659, 0.5784, -0.0369, 0.0247, 15.1191
03574500, 0.6218, 0.4824, 0.0331, 0.025, 14.7627
03603000, 0.6756, 0.582, -0.0351, 0.028, 14.7405
04073500, 1.117, 0.618, 0.1144, 0.1347, 7.8015
04079000, 0.9221, 0.6613, 0.0031, 0.1704, 6.3731
04100500, 0.9479, 0.6424, 0.0321, 0.1152, 9.6686
04113000, 1.0346, 0.6875, 0.0184, 0.145, 8.8568
04115000, 1.0044, 0.6975, -0.0021, 0.1486, 8.5509
04144000, 1.0471, 0.6617, 0.0484, 0.1475, 8.675
04164000, nan, 0.544, nan, 0.1341, 9.5124
04165500, 1.0542, 0.5887, 0.1239, 0.1369, 9.3641
04176500, 1.0005, 0.7036, -0.0096, 0.1295, 9.3684
04178000, 0.9803, 0.6305, 0.0562, 0.1301, 9.2876
04183500, 0.9625, 0.6808, -0.0007, 0.1093, 9.9855
04185000, 0.9656, 0.673, 0.0082, 0.1294, 9.3851
04191500, 0.977, 0.6829, 0.0026, 0.1075, 10.2479
04198000, 0.9412, 0.6781, -0.0062, 0.1069, 10.0459
04201500, 0.9103, 0.5723, 0.0874, 0.1134, 9.9057
04212000, 0.8167, 0.5769, 0.0423, 0.1351, 9.3839
04221000, 0.7493, 0.5129, 0.0735, 0.1985, 7.3278
04221500, 0.7456, 0.5489, 0.0356, 0.1983, 7.3343
04223000, 0.7353, 0.5307, 0.0485, 0.2022, 7.2345
05053000, 1.8324, 0.9652, -0.0903, 0.1454, 6.52
05244000, 1.2268, 0.7543, 0.0092, 0.1506, 5.6152
05280000, 1.3149, 0.8175, -0.0321, 0.1389, 7.3295
05320500, 1.245, 0.7623, 0.0059, 0.1347, 7.5964
05383000, 1.1262, 0.7113, 0.024, 0.1288, 7.6701
